=> using ddp: False
=> device: mps
=> ddp_world_size: 1
=> compile: False, amp(bf16): False
found 995 shards for split train, using 22 (index 0..21)
data_loader: 220000000 tokens in the working set
data_loader: 1 epoch = 107421 micro batches
found 1 shards for split val, using 1 (index 0..0)
data_loader: 10000000 tokens in the working set
data_loader: 1 epoch = 4882 micro batches
=> total desired batch size: 16384
=> calculated gradient accumulated steps: 8
=> training steps: 13427 (step 0 -> 13148), lr schedule spans 13148
=> lr at start: 6.00e-06  -> end: 6.00e-05
step 0, loss: 10.8817, norm: 5.9645, lr: 0.000006, dt: 3075.58ms, token/sec: 5327.13
step 1, loss: 10.8420, norm: 5.6586, lr: 0.000012, dt: 2888.86ms, token/sec: 5671.45
step 2, loss: 10.7432, norm: 5.2232, lr: 0.000018, dt: 2559.72ms, token/sec: 6400.70
step 3, loss: 10.6296, norm: 4.4154, lr: 0.000024, dt: 2606.87ms, token/sec: 6284.93
step 4, loss: 10.5530, norm: 3.4888, lr: 0.000030, dt: 2568.52ms, token/sec: 6378.77
step 5, loss: 10.4445, norm: 3.0661, lr: 0.000036, dt: 2596.40ms, token/sec: 6310.28
step 6, loss: 10.3853, norm: 2.4893, lr: 0.000042, dt: 2558.93ms, token/sec: 6402.67
step 7, loss: 10.2726, norm: 2.7593, lr: 0.000048, dt: 2537.76ms, token/sec: 6456.08
step 8, loss: 10.2058, norm: 2.6335, lr: 0.000054, dt: 2546.01ms, token/sec: 6435.16
step 9, loss: 10.2229, norm: 2.0123, lr: 0.000060, dt: 2536.52ms, token/sec: 6459.24
step 10, loss: 10.1939, norm: 1.9760, lr: 0.000066, dt: 2560.04ms, token/sec: 6399.89
step 11, loss: 10.0988, norm: 2.0433, lr: 0.000072, dt: 2547.55ms, token/sec: 6431.27
step 12, loss: 10.0480, norm: 2.0028, lr: 0.000078, dt: 2547.43ms, token/sec: 6431.58
step 13, loss: 10.0971, norm: 1.9549, lr: 0.000084, dt: 2555.50ms, token/sec: 6411.27
step 14, loss: 10.0891, norm: 1.7957, lr: 0.000090, dt: 2559.86ms, token/sec: 6400.35
step 15, loss: 10.0495, norm: 1.7869, lr: 0.000096, dt: 2561.58ms, token/sec: 6396.05
step 16, loss: 10.0438, norm: 1.7206, lr: 0.000102, dt: 2572.75ms, token/sec: 6368.27
step 17, loss: 9.9502, norm: 1.7730, lr: 0.000108, dt: 2573.09ms, token/sec: 6367.44
step 18, loss: 9.8746, norm: 1.8192, lr: 0.000114, dt: 2579.05ms, token/sec: 6352.73
step 19, loss: 9.8762, norm: 1.6973, lr: 0.000120, dt: 2552.58ms, token/sec: 6418.60
step 20, loss: 9.8116, norm: 1.7213, lr: 0.000126, dt: 2588.74ms, token/sec: 6328.95
step 21, loss: 9.7613, norm: 1.7391, lr: 0.000132, dt: 2581.72ms, token/sec: 6346.16
step 22, loss: 9.7140, norm: 1.6878, lr: 0.000138, dt: 2566.97ms, token/sec: 6382.61
step 23, loss: 9.6117, norm: 1.9501, lr: 0.000144, dt: 2563.91ms, token/sec: 6390.24
step 24, loss: 9.5336, norm: 1.8599, lr: 0.000150, dt: 2554.74ms, token/sec: 6413.18
step 25, loss: 9.5227, norm: 1.7838, lr: 0.000156, dt: 2571.24ms, token/sec: 6372.01
step 26, loss: 9.4650, norm: 1.9406, lr: 0.000162, dt: 2590.41ms, token/sec: 6324.86
step 27, loss: 9.3899, norm: 1.6708, lr: 0.000168, dt: 2587.88ms, token/sec: 6331.05
step 28, loss: 9.3465, norm: 1.7591, lr: 0.000174, dt: 2571.37ms, token/sec: 6371.71
step 29, loss: 9.2047, norm: 1.6945, lr: 0.000180, dt: 2539.42ms, token/sec: 6451.86
step 30, loss: 9.1350, norm: 1.7644, lr: 0.000186, dt: 2563.94ms, token/sec: 6390.17
step 31, loss: 9.1526, norm: 1.7519, lr: 0.000192, dt: 2546.72ms, token/sec: 6433.37
step 32, loss: 9.0132, norm: 1.6715, lr: 0.000198, dt: 2559.19ms, token/sec: 6402.02
step 33, loss: 8.9287, norm: 1.7029, lr: 0.000204, dt: 2538.96ms, token/sec: 6453.03
step 34, loss: 8.8224, norm: 1.6495, lr: 0.000210, dt: 2545.99ms, token/sec: 6435.22
step 35, loss: 8.7599, norm: 1.7446, lr: 0.000216, dt: 2549.26ms, token/sec: 6426.95
step 36, loss: 8.6902, norm: 1.6973, lr: 0.000222, dt: 2548.37ms, token/sec: 6429.21
step 37, loss: 8.5745, norm: 1.7508, lr: 0.000228, dt: 2511.94ms, token/sec: 6522.46
step 38, loss: 8.5787, norm: 1.5844, lr: 0.000234, dt: 2558.39ms, token/sec: 6404.04
step 39, loss: 8.5167, norm: 1.5402, lr: 0.000240, dt: 2618.46ms, token/sec: 6257.12
step 40, loss: 8.4111, norm: 1.5799, lr: 0.000246, dt: 2685.93ms, token/sec: 6099.93
step 41, loss: 8.4469, norm: 1.5210, lr: 0.000252, dt: 2605.01ms, token/sec: 6289.43
step 42, loss: 8.3632, norm: 1.4827, lr: 0.000258, dt: 2570.88ms, token/sec: 6372.92
step 43, loss: 8.3770, norm: 1.4320, lr: 0.000264, dt: 2556.50ms, token/sec: 6408.76
step 44, loss: 8.1815, norm: 1.4668, lr: 0.000270, dt: 2642.87ms, token/sec: 6199.32
step 45, loss: 8.0158, norm: 1.4274, lr: 0.000276, dt: 2544.18ms, token/sec: 6439.81
step 46, loss: 8.3070, norm: 1.3570, lr: 0.000282, dt: 2576.84ms, token/sec: 6358.17
step 47, loss: 8.0350, norm: 1.3200, lr: 0.000288, dt: 2585.38ms, token/sec: 6337.18
step 48, loss: 7.9266, norm: 1.3152, lr: 0.000294, dt: 2626.07ms, token/sec: 6238.99
step 49, loss: 7.8705, norm: 1.2702, lr: 0.000300, dt: 2588.53ms, token/sec: 6329.47
step 50, loss: 7.7826, norm: 1.2494, lr: 0.000306, dt: 2608.13ms, token/sec: 6281.91
step 51, loss: 7.7740, norm: 1.1720, lr: 0.000312, dt: 2553.30ms, token/sec: 6416.80
step 52, loss: 7.7098, norm: 1.0415, lr: 0.000318, dt: 2525.12ms, token/sec: 6488.40
step 53, loss: 7.5824, norm: 1.0023, lr: 0.000324, dt: 2526.04ms, token/sec: 6486.04
step 54, loss: 7.6189, norm: 0.9310, lr: 0.000330, dt: 2564.88ms, token/sec: 6387.81
step 55, loss: 7.9070, norm: 0.8780, lr: 0.000336, dt: 2599.07ms, token/sec: 6303.80
step 56, loss: 7.4751, norm: 0.8797, lr: 0.000342, dt: 2624.01ms, token/sec: 6243.89
step 57, loss: 7.6317, norm: 0.9738, lr: 0.000348, dt: 2578.48ms, token/sec: 6354.13
step 58, loss: 7.5860, norm: 0.7181, lr: 0.000354, dt: 2599.22ms, token/sec: 6303.44
step 59, loss: 7.4620, norm: 0.7073, lr: 0.000360, dt: 2530.85ms, token/sec: 6473.72
step 60, loss: 7.5014, norm: 0.6056, lr: 0.000366, dt: 2565.90ms, token/sec: 6385.29
step 61, loss: 7.3824, norm: 0.5911, lr: 0.000372, dt: 2580.23ms, token/sec: 6349.81
step 62, loss: 7.4701, norm: 0.7484, lr: 0.000378, dt: 2561.53ms, token/sec: 6396.18
step 63, loss: 7.3234, norm: 1.1035, lr: 0.000384, dt: 2592.37ms, token/sec: 6320.09
step 64, loss: 7.2703, norm: 0.5894, lr: 0.000390, dt: 2533.68ms, token/sec: 6466.49
step 65, loss: 7.3907, norm: 0.7824, lr: 0.000396, dt: 2562.96ms, token/sec: 6392.60
step 66, loss: 7.3966, norm: 1.6342, lr: 0.000402, dt: 2558.31ms, token/sec: 6404.22
step 67, loss: 7.4057, norm: 0.7260, lr: 0.000408, dt: 2617.65ms, token/sec: 6259.06
step 68, loss: 7.3298, norm: 0.6246, lr: 0.000414, dt: 2668.65ms, token/sec: 6139.44
