=> using ddp: False
=> device: mps
=> ddp_world_size: 1
=> compile: False, amp(bf16): False
found 995 shards for split train, using 15 (index 22..36)
data_loader: 150000000 tokens in the working set
data_loader: 1 epoch = 73242 micro batches
found 1 shards for split val, using 1 (index 0..0)
data_loader: 10000000 tokens in the working set
data_loader: 1 epoch = 4882 micro batches
data_loader: checkpoint shard edufineweb_train_000022 is outside this window (edufineweb_train_000023..edufineweb_train_000037) -- starting at edufineweb_train_000023
=> resumed from runs_small/model_013147.pt at step 13148
=> total desired batch size: 16384
=> calculated gradient accumulated steps: 8
=> training steps: 9155 (step 13148 -> 22303), lr schedule spans 22303
=> lr at start: 2.57e-04  -> end: 6.00e-05
step 13148, loss: 4.2113, norm: 1.1301, lr: 0.000257, dt: 3129.79ms, token/sec: 5234.86
step 13149, loss: 4.1474, norm: 1.2736, lr: 0.000257, dt: 2649.29ms, token/sec: 6184.31
step 13150, loss: 4.2678, norm: 1.4048, lr: 0.000257, dt: 2627.18ms, token/sec: 6236.35
step 13151, loss: 4.1146, norm: 1.5589, lr: 0.000256, dt: 2609.57ms, token/sec: 6278.43
step 13152, loss: 4.5432, norm: 1.8068, lr: 0.000256, dt: 2632.28ms, token/sec: 6224.25
step 13153, loss: 4.4812, norm: 1.4540, lr: 0.000256, dt: 2635.59ms, token/sec: 6216.44
step 13154, loss: 4.4988, norm: 1.5813, lr: 0.000256, dt: 2636.82ms, token/sec: 6213.54
step 13155, loss: 4.5301, norm: 1.7052, lr: 0.000256, dt: 2623.68ms, token/sec: 6244.66
step 13156, loss: 4.0941, norm: 1.7186, lr: 0.000256, dt: 2616.80ms, token/sec: 6261.09
step 13157, loss: 4.1945, norm: 1.6245, lr: 0.000256, dt: 2624.60ms, token/sec: 6242.48
step 13158, loss: 4.2325, norm: 1.5612, lr: 0.000256, dt: 2626.92ms, token/sec: 6236.96
step 13159, loss: 4.2563, norm: 1.4141, lr: 0.000256, dt: 2621.73ms, token/sec: 6249.30
step 13160, loss: 4.0834, norm: 1.7201, lr: 0.000256, dt: 2619.28ms, token/sec: 6255.16
step 13161, loss: 4.2263, norm: 1.6375, lr: 0.000256, dt: 2632.74ms, token/sec: 6223.17
step 13162, loss: 4.4469, norm: 1.4715, lr: 0.000256, dt: 2636.47ms, token/sec: 6214.36
step 13163, loss: 4.3750, norm: 1.3563, lr: 0.000256, dt: 2640.04ms, token/sec: 6205.96
step 13164, loss: 4.3847, norm: 1.5175, lr: 0.000256, dt: 2618.64ms, token/sec: 6256.67
step 13165, loss: 4.0890, norm: 1.3791, lr: 0.000256, dt: 2636.83ms, token/sec: 6213.53
step 13166, loss: 4.3121, norm: 1.7621, lr: 0.000256, dt: 2651.28ms, token/sec: 6179.65
step 13167, loss: 4.1925, norm: 1.6307, lr: 0.000256, dt: 2628.62ms, token/sec: 6232.92
step 13168, loss: 4.2836, norm: 1.6897, lr: 0.000256, dt: 2622.05ms, token/sec: 6248.53
step 13169, loss: 4.3483, norm: 1.7340, lr: 0.000256, dt: 2591.80ms, token/sec: 6321.47
step 13170, loss: 4.2352, norm: 1.5210, lr: 0.000256, dt: 2609.76ms, token/sec: 6277.98
step 13171, loss: 4.3160, norm: 1.6199, lr: 0.000256, dt: 2599.26ms, token/sec: 6303.33
step 13172, loss: 4.5403, norm: 1.4764, lr: 0.000256, dt: 2657.03ms, token/sec: 6166.29
